SEEG TBAL3,SEEG TBAL4,SEEG TBAR1,SEEG TBAR2,SEEG TBAR3,SEEG TBAR4,SEEG TBPL1,SEEG TBPL2,SEEG TBPL3,SEEG TBPL4,SEEG TBPR1,SEEG TBPR2,SEEG TBPR3,SEEG TBPR4,SEEG TL01,SEEG TL02,SEEG TL03,SEEG TL04,SEEG TL05,SEEG TL06,SEEG TL07,SEEG TL08,SEEG TL09,SEEG TL10,SEEG TLL01,SEEG TLL02,SEEG TLL03,SEEG TLL04,SEEG TLR01,SEEG TLR02,SEEG TLR03,SEEG TLR04,SEEG TR01,SEEG TR02,SEEG TR03,SEEG TR04,SEEG TR05,SEEG TR06,SEEG TR07,SEEG TR08,SEEG TR09,SEEG TR10
0.9789115605708594,-0.4220333058603661,-44.60530346676595,-52.78416680767014,-69.88248121506038,-53.20619495255553,-62.59677280506594,-49.76751813795831,-1.4298113886758583,19.36387560936833,-54.53184091476966,-79.01635322562504,-77.05536129113938,-48.22849731905163,-27.24269802844914,93.39088223397106,103.0557920816931,132.52012471658384,7.773435687253534,61.325137884030106,175.29835340291527,120.24982103586125,-1.2501434400801636,-42.02636389050086,-45.5944683327136,1.8935827046865037,-18.121897899819185,-20.811478151894093,-55.397460730022175,-64.78466157419557,-21.505911737180536,-71.41351372516485,-65.01946103050318,-81.31764137344412,-75.74369766387869,-64.7228968611719,-45.72918270365785,-43.690639042560896,-66.48500379706442,-69.05284633345708,-64.84574345245848,-45.6289645147144
6.645608140588317,8.063133972291805,-34.8254525597211,-47.80050949567132,-59.5474888995417,-51.67375143492806,-43.60742258000893,-37.31271909318773,13.069330826737644,35.11421017428722,-47.669415831331406,-67.71347507035713,-65.24031165358015,-33.89071108320833,-11.296752859568596,81.08545232003846,106.0346665491408,130.71502603694898,13.646714615082775,71.56333471335849,191.427290243918,140.05146701348195,29.23480241083441,-7.544391643922474,-34.79019937290903,-0.1451344514589369,-12.63768843477032,-10.208411107116603,-38.40268902535237,-47.331227639623904,-10.731637626763131,-46.9619079744721,-54.43169174743682,-71.45143970564631,-65.74428577242017,-55.157702915350185,-39.601196036302944,-35.73656494079519,-54.82720684663314,-55.342775251213816,-49.53328607058853,-28.064559097067637
16.24553573487749,14.395950996184258,-20.42208049409929,-33.82289662097662,-43.1282564166066,-21.117393366502093,-27.38011968903097,-24.225238131943392,14.982423970797427,48.84394181113174,-38.42238732647724,-48.31811241535621,-46.92369875158233,-19.712389419733487,3.217321093132248,66.3292926086954,107.52847902621858,120.21113712472122,14.251572261423968,64.22957393822514,196.0725453843,150.19912740359712,52.02875024622175,19.74211425629142,-17.50762801069527,0.8380884909090738,-1.82569922427224,6.736194552270844,-25.552578969221223,-37.81581839889351,-6.334261470485896,-17.43701361220072,-39.49618703685304,-55.167059095580186,-50.83117149124024,-40.81056005337543,-29.361498977887003,-27.924983257093373,-42.776195262864526,-38.10285387780151,-28.903753563869785,-7.261820242259284
27.453978865949026,18.53394516711021,-5.512670532510132,-16.970086454094233,-27.25441461179671,12.459984785345885,-17.15749332310143,-17.09619788328839,4.480900497688238,55.8357142138719,-28.22651337354869,-26.392844863738453,-31.91745509019339,-11.021115863275488,14.64672963429616,46.79129656487268,101.43514929251204,103.81812123651574,8.36884018003143,37.63103570996756,185.1926380785249,152.30789415072968,66.46920422601602,38.64518255846969,0.7425991906366717,5.439761516419824,11.65770995760506,22.18380826324686,-28.072712612863725,-32.36261810288675,-6.328110764638373,11.21619262902035,-24.41100488220552,-38.80872163363202,-36.58888640280376,-27.913265722759206,-15.995363933809305,-21.636451388604677,-33.79582771709671,-23.33422452933736,-9.16114597706811,11.047236546190549
38.766143324008354,22.62506997536797,7.0578697737412535,-6.95124102924071,-17.516788482973443,19.488954309244345,-7.634798095489516,-13.593041420542054,-8.928909746756942,57.39330525510147,-17.438604401141816,-4.205021701692049,-23.899401898575803,-8.662597476849559,23.29783035015996,19.845958093398657,82.28702780565064,83.65490666516087,-0.2878878970135904,3.090486557710238,163.48013660022525,149.3513253157725,74.72685213779826,51.37624548816567,17.32782702945842,14.496732694074607,22.486238681662677,31.123304340454048,-41.17271525435846,-20.97844937085137,-9.128229392915127,33.194782911992874,-12.602928661552124,-25.39174079311378,-23.64753903924817,-17.431250499359116,-3.869335737979574,-18.081842601919156,-24.591392802649484,-12.654161247738928,5.702853837718932,24.78922897610244
48.80497344562857,27.093173192968266,17.383235934830438,-5.791185620625382,-14.645692408089218,4.047132548143521,3.4722985448693726,-7.824920508419624,-14.13683171610628,56.21790924981616,-6.898698389156968,12.731978749327894,-19.06368087392908,-6.943113742413709,29.35150376420465,-14.030935183678835,54.28328817879913,63.029797956751366,-8.039705063590453,-28.4345860830122,140.82455859381187,143.3659932412021,78.44425917220975,59.78880737051726,31.9296106434511,26.1574569590097,26.94897480355988,34.06117552766953,-49.15300745842722,-3.0951160397555286,-7.04818233392953,42.37638950235316,-3.109102140685402,-12.943492219927007,-9.138099352063511,-6.079956426318641,6.16909990835181,-14.609464514433297,-11.45834845409968,-2.2219193355291367,16.869562731757252,35.85952744663874
54.35332994335974,31.222085391413064,28.59579302302063,-4.859731548007157,-14.002467504903048,-2.7593549041930845,13.939118370063536,-0.1509626904329085,-2.5662350277361097,53.27243810828874,5.031196716404804,20.720620417961783,-10.245532132013585,4.436943207878198,34.39561976741958,-48.89781159722897,28.01514404089832,45.44075447572283,-12.99404573767204,-52.54423313846238,121.44594787327158,135.39877833034,78.92392452231726,64.99091051946709,44.63126399399558,37.9287541676929,28.986377538665995,35.96823626929141,-37.99268405571632,12.547366391544212,8.901007761431652,40.87734976202776,10.44104537090316,2.569820491366713,10.836528197479009,10.94084504615382,17.927696895656233,-5.517297317702341,6.3165642160954585,13.882731193235225,30.384785281054867,48.22858594933204
53.79922948763321,36.75366363293657,43.06413589712456,5.345216707233949,-9.321861408493676,19.30830087219829,23.25102286577364,5.754108778559821,22.286388065960555,50.723302939227125,22.028998658421184,24.138441993409216,4.429949513686726,29.812408590791787,43.022073830532825,-76.41877029115399,10.62792063596745,32.36395580174143,-14.26110836924829,-70.62886559000432,100.76576357148414,126.7683745791996,78.92627780562582,69.57806302852357,56.02890975526084,50.49248601391609,35.48984985264718,42.19156207131578,-7.7853757760386895,18.27267165357364,37.2965936346195,43.113340319228605,32.06504219993672,22.995694617481934,37.80426307880741,35.62719556442064,33.336902324105104,13.16094511176412,28.01962015107544,36.76598696058248,49.81065428470761,64.58991967516407
48.348756320256456,45.65886149063783,59.19527401475524,24.919616346351678,2.3770038894661334,61.00933022387302,31.707849450774987,9.886117818903047,44.549507122926144,50.30231210391632,43.1569824278301,28.76767553020929,19.156149511984797,59.86339940381804,57.30448380673276,-94.56264915967849,1.5689069099616024,25.6862670277644,-12.247342903473696,-85.68811573490127,76.25454558816163,118.82963430761068,80.35879880783061,75.66388029166698,66.80868577699657,65.61104252371715,46.86781396467511,53.33986182538267,26.886050609727132,17.54915612379851,68.62420906110694,60.81034523392363,55.32392230775466,45.78950509548325,67.8033167805119,63.827852802960535,51.76937849507076,40.051862708862025,51.56088148886704,60.57417326658805,71.3235162737667,83.08668228018664
40.3907089313425,55.07014972190744,71.98195964616312,42.84552207603388,18.259190118161065,97.4221700377505,37.23662366553722,12.98394329189546,52.10680004421927,49.55601325845096,62.111186858934566,37.08076091452584,29.642214568037044,80.65539222010501,72.75816464286326,-109.47018147887594,-3.4182524049623133,25.495972557294277,-8.85592025357715,-96.73922850117368,55.34461539541929,112.29567722975963,81.57477301289688,81.04077961191595,76.38151224055198,81.63152329375053,58.03515886612951,63.13804492366196,51.872370191821794,22.664563600193144,93.78567249983868,85.59607693464248,69.34890448990211,64.80678023130515,92.49903127606709,87.2639051789821,71.82131667792045,66.14451200897874,72.14890126860463,79.01197547656483,88.33691347361696,98.05335317631848
