SEEG TBAL3,SEEG TBAL4,SEEG TBAR1,SEEG TBAR2,SEEG TBAR3,SEEG TBAR4,SEEG TBPL1,SEEG TBPL2,SEEG TBPL3,SEEG TBPL4,SEEG TBPR1,SEEG TBPR2,SEEG TBPR3,SEEG TBPR4,SEEG TL01,SEEG TL02,SEEG TL03,SEEG TL04,SEEG TL05,SEEG TL06,SEEG TL07,SEEG TL08,SEEG TL09,SEEG TL10,SEEG TLL01,SEEG TLL02,SEEG TLL03,SEEG TLL04,SEEG TLR01,SEEG TLR02,SEEG TLR03,SEEG TLR04,SEEG TR01,SEEG TR02,SEEG TR03,SEEG TR04,SEEG TR05,SEEG TR06,SEEG TR07,SEEG TR08,SEEG TR09,SEEG TR10
-15.473794133956025,9.624765862135147,13.4892919591651,-27.67919840202987,-35.69547797290907,22.78516476530366,-11.02785720363486,-19.15706062907566,-68.3437304793924,-10.697745392850512,-55.982177559066834,-19.17955545380941,-16.445846468473754,-6.054154710910575,14.69578874744336,50.51818057524481,76.3835363984302,83.15396505708601,9.41894975011722,55.76343611466751,78.6886158563329,111.09896638242653,85.7938424441143,87.70427871399761,32.25272257536348,4.212269385854165,-32.71563337092361,2.796361395901352,33.87676487784105,-15.574259026189756,52.6955714300006,-56.09153489305578,-2.35321171590767,51.178316990011325,-11.474113627350023,25.0250288536635,82.61245589041083,-41.466410160769776,-13.200501766800976,22.138202629761334,-1.081702015171601,-14.989001872502149
-17.742888063841328,1.4560310207672618,8.185921196762218,-21.620360174369623,-31.953902557225422,20.056118535633228,-17.46196110559005,-27.83390639742372,-53.48358647232649,-3.151928810382637,-62.08380619077597,-8.773724194636333,-15.082303674397048,-11.917344651738814,9.59918319146152,44.59411641589811,77.40463037000404,82.70902668410281,8.335791824816432,54.95671096715429,81.10026114339821,120.52393173982767,95.44559057569109,94.93761966102043,20.894603525071663,-2.8655233593700644,-30.16076298340353,4.059876676064856,17.425078047094537,-23.993688729439796,47.18175251946335,-58.21986104575532,-10.804764789124285,42.9816786116619,-15.94308893299214,15.558760879160552,45.634057260260455,-59.05257133954214,-24.21734319487348,12.388189606327067,-8.824164923505817,-23.02510545226494
-19.160706918615222,-7.823250655027091,0.3780512209847193,-17.97312028465726,-27.70513450308455,21.31339370697609,-22.940269875474268,-32.91526109019576,-38.66731559578319,-1.045353766385262,-47.06470854630312,-0.1748200659570959,-11.373890775463089,-13.476728432819671,3.5061867055068285,42.88137373836887,79.28648611424661,85.62935312834105,7.679163621103597,55.594026247014725,75.7545438160962,121.46628662166998,97.7186394511591,95.01580243061832,3.1457275326247034,-10.835206483152389,-26.867145354042048,5.350218695512451,-7.1215838165745255,-38.787266175356194,39.05395399239731,-67.46342143228557,-19.966668201006183,33.65772780056031,-17.78263262601051,7.328758919103487,0.5776855428374428,-79.14983791735656,-36.76127686092289,5.529886711714582,-13.360704338869564,-27.60498192495508
-21.42159888890044,-16.62146717899087,-4.849948855778363,-22.01588248495901,-24.86578141201629,27.459945655758336,-27.66549216732613,-37.05931364454413,-33.136785365711724,-1.6418872218578908,-26.71490222519537,4.250924510346427,-7.50812387520413,-14.30814164970172,-3.981101410240474,42.65488398607263,78.8409291443444,86.16390403098798,5.8019665426119165,53.64911468278609,62.85038414512376,109.87604810613917,89.73329024353444,86.66644754570733,-17.87802853465208,-21.344340661548436,-25.7740915157801,3.1817494108464994,-31.227595231563317,-54.63189943295362,26.463594911523835,-76.4166365414661,-26.767836383922862,27.80383106358897,-21.318567951708463,-2.2314556892551813,-24.667910848854905,-94.48806542881272,-49.208079796893614,0.7054329894328195,-17.074635783494735,-29.898029659994812
-26.51953932543909,-23.37448571981491,-4.436755206333381,-29.227530371430817,-24.20027196827392,36.87453108725072,-32.380285952062415,-42.1100371113304,-39.06410988521606,-4.952245083074917,-25.675955701177315,2.6695914686279267,-7.026225247718097,-18.001418328827285,-11.336773738189049,42.67787006610365,74.53366968436626,79.6571648275757,2.39940583157298,45.70182057862702,49.04458620299422,92.16391596983934,76.7789881966328,75.32781360420395,-37.30106667977759,-33.88341409310631,-26.90370003045789,-2.4103627529835285,-38.53252929533424,-64.38562245806051,12.561721991448469,-78.39850120527554,-30.784771690093663,24.950826394804096,-30.41492008846296,-12.284253276880266,-22.899035735145016,-100.52281822183024,-60.20710156054844,-5.219934191644108,-21.740543870681964,-31.227408291201986
-36.54444305988605,-29.23687779003128,-2.5718367001706497,-34.185304666761446,-26.134651836573997,45.173020696239824,-37.90589791268094,-45.80423563322138,-50.58216792592452,-16.861029209156467,-52.75913868103338,-0.5206646585427539,-12.430967031190496,-22.853856878452447,-16.233834199895323,43.71049158088845,67.51559703423544,66.17465626695652,-1.9480023594880411,31.15246513869507,36.26568149373511,75.8590722856597,64.56604811661292,65.36544078031216,-51.57362626898447,-43.92737909761349,-27.695098555508697,-7.850665843917099,-22.90190001787125,-66.81361222540856,3.09970870169862,-76.02261171684978,-37.72174418761175,20.26898541416384,-44.218746917354274,-22.07369125506962,-16.28762765350334,-103.03944133265024,-70.20887554681792,-13.425091473759174,-27.649068287316027,-32.46236304735074
-50.64330956872619,-35.76104413713555,-7.984235685921275,-39.9150856070449,-33.09707941639728,46.92398536006945,-43.91344449518011,-45.34548262071021,-58.03518652485544,-39.2156961956199,-91.01196309756266,-3.8349502402629465,-23.307218033162425,-28.21611323326417,-19.054595738181018,46.10345490979387,59.893934022125634,48.91182746350405,-7.585849343802315,12.248379688881748,19.3259937962378,60.21414519094733,53.03880691795679,55.51829665831147,-60.87150810976364,-48.31035029864663,-27.34881415517532,-10.0541414250644,1.2641047689574905,-68.28036083210782,-3.296194948043739,-77.23965908332654,-53.52094908521994,9.14380612906707,-60.42357811121723,-38.74787099761397,-33.70047831714034,-115.92937079213058,-82.04407312136176,-24.49310951858281,-35.261207381669834,-35.94602753386374
-65.049002495919,-41.36181112100869,-19.927396346112005,-48.63955569287698,-43.78976949513544,39.720808208412045,-46.94676688967387,-40.44202354693239,-61.89233340860551,-61.14842296541982,-111.87143248633625,-14.495154143944417,-36.69523935813844,-38.00920815509987,-21.059051303300382,49.56188229441938,53.4863208370759,33.958557332468885,-13.964022064802313,-5.104196399118274,0.3151470005695789,43.75200082917016,41.33786792801117,45.01236249510887,-66.06991289713095,-48.255740142589474,-26.44484113075937,-9.376669270810378,16.898710527068506,-72.44857942962818,-11.455263525321993,-86.65739789653999,-72.62970658632027,-8.44537890233138,-79.81339290830003,-69.05258931945555,-73.32587718414368,-144.63139147571272,-99.83268709091205,-39.85716815561267,-44.869829872825065,-44.00423962360603
-75.76564618563513,-43.37897802769204,-27.87799855627038,-54.51724323582432,-50.43355330133699,29.121580816637085,-43.23233545898185,-33.287425642333474,-68.00411519649403,-69.13108903210535,-98.43893322420382,-32.13840801811294,-48.302118223254936,-50.95935164945404,-22.05883645373121,54.69427458356944,50.28301993621157,25.73979696611376,-17.93908209057915,-13.749718522968314,-7.869407552856444,31.93862181257836,33.3105136923255,38.58290614532768,-66.27320882410751,-45.21768926918157,-23.939112085039746,-7.852489977979232,21.37600189871821,-75.43763893836433,-17.664599038217094,-100.05096646825234,-84.36743115744727,-25.498499039481644,-102.0606438049202,-103.279669234835,-98.1636428701798,-174.9938643168654,-120.21717436810845,-55.86956236211975,-53.25694153559563,-53.73026287896736
-78.20326881717324,-41.47136900693089,-26.790061043460256,-51.35445617099811,-47.42247063514101,25.935526029408447,-33.26339252499211,-25.948125115118984,-69.44671540519737,-60.83757231848055,-63.87110447931929,-42.68668607636216,-53.45806057854232,-56.96056147725132,-21.721226815903982,63.72476361754453,51.74364892748639,21.11650568559095,-17.296404101327017,-13.031392019315971,-0.3438031223063648,29.73995736404674,33.57395155072494,41.31639906235057,-61.22944582508353,-38.86864085518016,-18.15806294140692,-4.867783354753421,18.90198907502543,-73.13749121932727,-14.003012217446775,-108.09827790598656,-91.29224367078582,-33.63608767878448,-119.67399995716757,-122.78861367164804,-85.87271969763647,-187.34946110758983,-128.89841303268082,-63.0200991910813,-54.64769246610219,-57.93102416130091
-70.1111872565413,-36.95140597376392,-19.98394998186006,-40.30348449146184,-36.14213887612548,33.09271176209697,-20.578475721047923,-18.30744484907207,-56.19820875922452,-42.22857576487322,-42.34069212038583,-37.39503024731137,-49.00049642491581,-49.136460637453126,-20.02378315369969,77.77259607609398,56.93126981254923,15.224043750567358,-13.62811930382709,-10.344888082544964,10.206627393452967,33.81285734560146,41.17058329244996,52.236967584545134,-52.58933031112485,-29.99842632705417,-9.757325571043571,1.8702742401378272,13.50267523294864,-66.8586778883638,-2.0736060981537308,-106.17786068230367,-103.9275636953304,-33.06992403319889,-123.79542240535324,-121.12719639645996,-63.30188067576634,-182.3448056107619,-114.9684916454415,-56.29130853360742,-46.73885839368885,-52.683610245317055
-56.43317531783129,-31.35731692812433,-11.862105403844518,-27.789240146083777,-20.499300792509484,41.306047615325774,-8.405867168839286,-10.587611685889073,-33.44192877386621,-20.441005939183867,-51.94345430952109,-22.67365620876333,-39.24244781432033,-33.21072748210067,-16.69808246376101,93.02486754448113,62.77697633631491,9.936228014947016,-9.863332032541043,-11.37742759984074,9.749796022019456,36.30289069829752,49.58588123714773,64.20014706709419,-42.87419950715787,-21.755872099187503,-1.7458908305513243,10.929609326949814,10.893315225165397,-60.87549860332868,8.334081858734692,-98.51300480148848,-120.87949247346552,-31.97360953217504,-115.5045838126277,-108.540647136801,-69.57115007164973,-182.71399709518963,-86.79246307664329,-41.87839472165713,-34.03495855075299,-41.68413728448675
-44.80106355459286,-25.445357700252178,-4.82337418998611,-17.40118336428176,-2.756142151292845,43.73113563054494,1.2520996679514906,-5.826263681631547,-10.823542432958408,-4.918379779122772,-78.92674394253194,-10.012781207759966,-34.06261849575178,-19.60874073318832,-11.659100705360135,102.9300360879021,66.92283572976413,10.320935829182504,-7.15094606196347,-14.178605254197077,-1.933858144491907,32.051178803880084,52.07839926059103,68.91336173975502,-34.53487907408992,-17.629452492916542,3.4847926993604954,17.356552487265454,12.286241737100838,-55.92322735223131,13.260675845542822,-92.46517448115124,-129.7289144563236,-35.50181797641542,-104.6729424170657,-99.11838346017014,-109.61666021140496,-204.8714877257529,-65.289274052678,-30.179959502003427,-24.053463442913667,-32.27885616744096
