SEEG FLL01,SEEG FLL02,SEEG FLL03,SEEG FLL04,SEEG FLL05,SEEG FLL06,SEEG FLR01,SEEG FLR02,SEEG FLR03,SEEG FLR04,SEEG FLR05,SEEG FLR06,SEEG FLR07,SEEG FLR08,SEEG FPL01,SEEG FPL02,SEEG FPL03,SEEG FPL04,SEEG FPL05,SEEG FPL06,SEEG FPL07,SEEG FPL08,SEEG FPR01,SEEG FPR02,SEEG FPR03,SEEG FPR04,SEEG FPR05,SEEG FPR06,SEEG FPR07,SEEG FPR08,SEEG TBAL1,SEEG TBAL2,SEEG TBAL3,SEEG TBAL4,SEEG TBAR1,SEEG TBAR2,SEEG TBAR3,SEEG TBAR4,SEEG TBPL1,SEEG TBPL2,SEEG TBPL3,SEEG TBPL4,SEEG TBPR1,SEEG TBPR2,SEEG TBPR3,SEEG TBPR4,SEEG TL01,SEEG TL02,SEEG TL03,SEEG TL04,SEEG TL05,SEEG TL06,SEEG TL07,SEEG TL08,SEEG TL09,SEEG TL10,SEEG TLL01,SEEG TLL02,SEEG TLL03,SEEG TLL04,SEEG TLR01,SEEG TLR02,SEEG TLR03,SEEG TLR04,SEEG TR01,SEEG TR02,SEEG TR03,SEEG TR04,SEEG TR05,SEEG TR06,SEEG TR07,SEEG TR08,SEEG TR09,SEEG TR10
-24.33902199038041,-102.60461565012648,-94.34238170166132,-48.606307323944456,-27.254760025904027,5.080303671911348,419.1787278444317,588.7013681858444,105.88358009039648,-185.2727858603548,-377.41757336499467,-171.0868423276928,-5.431119404425529,4.9473628540309695,33.50034483174728,38.73963256613442,26.250501002716767,-8.955781262020011,111.04834895575992,95.42073257088435,-54.64433274887255,-42.172847848922174,-371.6286658173557,28.537139344595406,-98.62152442360092,-139.6296126631589,-129.91661887021206,-25.40990870612115,-270.45400041936745,-216.4488322921019,54.793200408065736,27.02915548040634,124.56329753996609,10.252567732763556,-7.436233910349963,65.06971622457797,14.448850315265531,107.52247584509566,125.96067072788132,44.53252755418487,41.7341795963752,-9.262394676322126,34.637249629389466,-24.804142435554976,88.1188893341035,2.868475651593791,-29.04539139496492,1.2387141759136548,-13.670939056523446,-22.725078568620088,-48.07807684918846,-56.90763422201414,-115.15304272206753,-120.56923810350742,-120.1914975628671,-114.67137831712834,2.817342194809446,52.82650890512046,38.21051667571088,-8.89977999434686,-112.7058991374806,-111.00229431425284,-38.109738605591446,-166.41489284062231,632.0072530825893,523.5115946031979,359.8105272324159,510.9227549615951,493.7469009918713,341.968395429066,292.0920374328195,231.53984211388257,189.78627967680836,144.42795493131467
-51.9004693360433,-107.49172295529289,-80.15364529337185,-40.50636329936256,-14.397537663639456,2.594715689175961,502.0220526013111,638.3245838277683,54.03229850739837,-218.84897139541275,-375.71870551570606,-226.0149990063967,-40.054108410368514,-7.198642262222742,33.661585121701265,38.43592750445597,26.67370719661112,-7.622585423658156,100.4813461370587,90.8870241284208,-63.937841771807975,-40.37353894647172,-327.80094002400864,-41.66204588516965,-168.9543881296863,-205.26608190801585,-175.70538948211757,-40.92969843940282,-282.7395877612761,-224.32226609240925,53.015013945666745,20.16121605116143,127.71893387714772,9.436564568580057,-10.905148696788403,62.28373171288749,-16.185753790308123,96.19247716158682,120.87699000437192,44.43337608683466,47.21115673408959,-18.092340520409856,31.79373167771077,-26.135126512117083,66.6737078383211,-34.44135811213719,-41.403395628750445,-8.920648831148297,-24.85400015146717,-32.918226009330326,-54.09994142476732,-66.1846125303936,-137.2604156241737,-148.89778107622277,-150.05222115483926,-141.2257706589035,-3.306362286585199,46.85977689486102,35.38326344813685,-14.514893152874745,-122.72611548150824,-123.10292971365854,-54.74560139090013,-195.56111065107757,650.828376030283,540.7910431850834,368.3188985346616,519.5438493171187,500.348849798654,344.70397730077,292.61944229581417,230.5068061624276,186.969107872466,140.3183589393834
-80.40104910310737,-103.96129759951184,-64.3461873359883,-29.54985202766621,2.2314673411293238,-1.7593954627281672,422.591735874099,523.9679045310102,-91.10841510762292,-278.1432788632686,-377.036745352312,-289.22452025732883,-70.649843596694,-24.10117388136745,40.6702477275799,45.10307699161923,34.38634955169973,-2.7955949116722976,87.0449587011081,84.51189899581802,-70.8701338468446,-35.89091370448252,-278.5389377501708,-130.75364222928232,-256.64048231654,-273.8345975473249,-221.5206800472622,-57.21827688417197,-291.4201956389796,-233.35719953034737,55.1245823990244,18.68060734331386,132.49298416168196,11.996629991102091,-16.18408849606434,59.14379914604783,-54.923480876382825,78.6490036003661,115.2271253098518,45.26582144107382,55.3548554645612,-27.11927025946517,29.042319429321275,-30.62486013548704,40.47675339039629,-78.0036713328075,-50.34512172259908,-16.8312306736044,-33.19042851669395,-38.69277062058734,-57.18301951264964,-75.54327623152805,-153.902317243207,-172.00094486517438,-174.22379475152815,-162.50014150617878,-2.248954166911255,44.81679708770453,31.4854698805845,-18.680865743448265,-137.71534348512736,-143.52753148103557,-74.0069640367713,-222.21788699359928,668.2073525750974,556.5275245791564,374.92247401218657,527.975825851601,506.4073087550455,346.28482772247725,291.9808473552486,227.5103658215581,181.9218081730041,133.43467270826744
-101.38889740628416,-94.44895346267732,-50.90929277318007,-15.26382733168164,20.300752985640564,-6.465843506582562,226.24827667089,284.30877855224105,-298.2244589087545,-360.6018347894768,-382.5952430637346,-340.11731525913035,-94.82829922652516,-46.01970880574096,53.39143893608099,57.923580881034425,48.87441946631857,6.257963066659423,76.17955320348125,77.99798540513463,-74.15495105010775,-27.919728076721118,-257.5775182359879,-250.70247962213503,-366.5108118527197,-349.2084687572346,-269.92726880462544,-71.1109223243707,-294.6710697210855,-238.0082137068404,60.132021420379296,19.20883104571497,137.93683641594885,14.590786227452828,-23.164753951805565,55.97363229508008,-93.31985608801482,46.092854405594686,109.27343650098658,45.33008413674546,63.06285776081833,-36.81724226406145,24.630896016399056,-38.29822689935565,16.018243055937724,-135.72934753359132,-55.55024599048827,-20.5192021255615,-36.63725360341642,-38.69935221307463,-54.27513399202043,-83.86575265598275,-166.65311397969933,-191.1789860191076,-196.61575627043743,-185.06004453590705,3.305461892227141,48.56744588679271,30.7117983439929,-20.806609129907685,-153.91488045711523,-172.89344376499048,-97.5241523089844,-247.41017282539727,685.5744016359931,572.0267201605939,380.3427910639198,536.0828348109642,512.0736230888255,348.0647304463579,291.61229121899163,224.64451614447896,176.9358010181911,126.872144669849
-108.77650137204904,-83.21364815996441,-37.5555964150208,1.06720616047411,38.1927344365924,-8.400053866705163,22.95136934740952,51.68622864080392,-511.8599460895708,-446.2393974021323,-376.9860318278672,-353.0545465857923,-104.50024048164885,-67.51554233315323,67.43377277476002,72.33090065644208,65.8696332446707,17.203355230576214,70.57249267319183,74.08584346077949,-74.20824484527304,-19.55488625406178,-284.1671237499226,-393.9314716961275,-482.2768901930268,-427.2355562886445,-319.83031963199056,-76.03090805913688,-287.6685053167121,-232.4395054074452,67.48194794008751,19.910786884812424,147.8201304569646,20.37720144937132,-28.38541606778648,52.294435151831,-127.25788129713996,-11.73639051128896,108.59390937225167,49.10094656041537,68.31596279207355,-44.1564051734985,20.697224205494777,-47.19036176268843,-3.836365992818319,-204.90875206736456,-55.66583019901282,-19.23541603663041,-34.308009519718524,-32.76531359350554,-43.8284593440788,-91.4157438797099,-176.21185277141834,-206.93409634611157,-217.9769258294166,-209.93922954234117,9.352958033680205,53.39770552965416,39.180046621967165,-19.54532539958757,-166.5902419701989,-203.4883934795855,-120.88325028667133,-270.90170662368456,700.5837041384963,586.2280291307569,385.5654480505919,542.6463526521258,516.9107564474702,349.5431490523567,291.13634024600555,222.36976288697988,173.10010880147894,122.49569149941811
-108.67349541868884,-75.15867882580716,-25.559050365188465,15.063906563479607,54.38605788739976,-5.59328249705408,-122.61905153969263,-69.19921977585187,-674.972069007365,-506.3504816328306,-346.6013904775223,-322.1237816512376,-94.96690010925413,-81.72831399112457,78.77491410752023,84.17852510734757,80.89776865784833,26.84465740763351,68.72481864648307,72.3789212462276,-71.84289689077183,-13.793863070882812,-355.1876751715777,-532.3658120361763,-581.7927680036418,-498.2674067487885,-368.1478079911337,-69.97347700043348,-269.11208361653075,-217.30119489130743,77.01019046590723,22.28847035552862,164.46058311358243,32.47032179263798,-30.761200596047267,49.46792850614731,-151.69543542009117,-90.84155106279093,117.0770074686584,58.65297694985457,73.96690237788019,-46.019708073803606,19.983325559574904,-54.04307578303542,-17.704478292174837,-262.4005643644492,-50.00535197365933,-14.65627392521133,-27.609385346244316,-22.03903463896512,-27.01938197881498,-99.6714049318373,-182.98916755552975,-217.0679064273241,-232.89299043508532,-228.2687090462017,10.118283839949688,56.58369979367064,53.83895230170868,-14.517263374377173,-171.64597597824576,-225.19329819115148,-136.9232528883486,-293.0735490601554,711.6376616331188,598.543008955794,390.8850411836853,548.9555749081603,521.9412250741126,350.6636379397564,290.02476386377725,219.3233663603472,168.90835738719488,118.3638998326246
-108.94413245165607,-69.58087018671442,-15.896377947137289,26.36973737761284,67.10242882633173,0.1133587644361692,-202.32322609965027,-88.73488877771318,-743.7645420433975,-525.6429224593114,-300.4562654791897,-264.18878101525416,-71.25882721233988,-85.8257457187833,87.74487203802053,94.06359879266836,94.07559248848482,34.213445192781734,68.59602833299405,71.43554810476182,-69.20627630932822,-10.371091727434198,-445.52192067716726,-639.5942455979902,-655.2529086472807,-553.2193044586606,-410.1037011645899,-60.09667331408052,-244.2488044313461,-199.8347130265792,88.54086377432091,29.67376510368132,187.18485291185632,48.14029062157162,-31.076161860665312,51.34489858392903,-159.50187453785293,-170.09295601378386,132.92244414650992,72.3111595044939,85.33062726942208,-42.0935112432929,22.107169191953474,-55.82503741312792,-19.14825066144069,-298.77085494560896,-39.488192342119845,-8.406675780710007,-18.133831558725102,-7.27713279260599,-7.739403735838809,-108.35915355395842,-185.21908199686013,-217.59645440924425,-234.3715929290311,-229.6587127315497,3.9645713548936015,63.34235583017184,66.46307730414468,-5.464689905666605,-166.78411935168214,-234.0186238642393,-145.25205902237434,-311.96094320645824,722.4769295474082,612.4111263746274,397.8833283561179,559.0112232454004,530.3926907391925,354.4634047470442,290.59552826273034,216.3871694769809,164.48872478626336,114.10697580507424
-102.19375220767074,-59.63794653491466,0.3882198098263743,40.27517037904384,76.24036014179326,5.3056733796234266,-223.8082924656933,-104.73332772616024,-706.6807054972783,-513.2228340396895,-265.697757055908,-202.6616461797465,-48.24795700803698,-82.49675643757925,99.16430472669036,106.8100487698611,109.64165152656776,41.06243941218919,69.74928175140545,71.27724786909566,-69.18107808526325,-7.286070273020135,-521.0189724752246,-708.9244296350051,-704.4047125941731,-586.9318398701057,-438.4585065635488,-54.319427587983206,-222.3397098628957,-188.0880952603626,100.4207475697142,41.89722569984079,213.90961909682323,60.92070087086729,-28.968268267133706,58.11732247658245,-154.47701207790166,-229.5707003531483,151.06457164585385,88.00413196656415,102.88061333512492,-35.81631084704107,25.337528545183616,-51.71440923687838,-5.341620466994523,-339.53492509198435,-27.220995928636647,-1.5308693078625322,-7.2150841378773425,10.210545916969982,8.008647290614062,-116.134724421386,-181.0759788581272,-207.93841883074748,-221.72928453241056,-214.07654963713605,-1.297214163955285,76.45234171435813,74.77540244115781,6.72986828280173,-153.59098104484897,-232.0422260243869,-151.7365703663043,-321.4022174438868,735.1802260848166,629.6701791323458,407.58452319197687,572.7134702694692,542.3026426533204,361.6488062962444,293.38989237304884,214.7544284203115,161.2957837403673,111.99791250159213
-74.82647556864747,-41.06471682049485,29.912334119013437,59.29213064278042,84.49317160897061,8.555823458049082,-201.34037342246103,-170.59778517379056,-603.3290996290173,-489.4846215650351,-264.5103237820013,-152.32768312286666,-41.85031890056891,-76.5272636647601,118.45760700925996,127.31132754135544,131.53512330086377,51.168774323012414,72.58593005628552,70.4871968138387,-72.12058593853841,-2.1669406109572,-557.804914124033,-743.8727550040385,-729.6626233204739,-598.8935980628388,-447.2483602375073,-53.651923901115495,-212.91304630036555,-185.15419708894572,109.72656399201432,53.2984358585516,240.58666563125612,68.34912925381867,-24.62157151983801,63.68529912098255,-151.80418614992132,-264.7742854706088,165.73373752960623,102.66039278740942,121.82828610490924,-32.26429793885888,29.916744124989705,-42.66108078180771,13.52233162683824,-398.45936363923846,-17.508078683526804,4.154503613997153,2.8540626481711566,26.6495474318417,15.546098592182938,-123.2141363480986,-172.8991280424806,-193.6715739219064,-202.34836617372184,-191.54755388106412,1.624462565147914,89.1494095827463,82.46210146744757,18.069476136949557,-136.75817124973196,-222.64662210508152,-159.32832186203487,-318.22476875662835,745.3350678322552,646.1344797491294,417.70508088226086,585.0263146243241,553.0786505526455,367.6127598176559,294.10328193685547,211.5885898929754,157.58254545731276,111.00567741682636
-28.845247648268675,-15.906084045711138,62.75215942643111,76.90150983601669,93.97440939059686,10.347108703839965,-161.01300812652244,-209.0363771519367,-505.12562862953575,-468.4287032167571,-294.70701321728666,-113.2649965950292,-55.53069065714071,-71.52162251182008,147.52969955171514,157.14571166316534,160.75902900956285,67.25868241766207,76.78268626715821,64.21921104789833,-76.32114888818859,5.817867101971536,-554.2396094406015,-746.1530024321257,-727.9962764025458,-593.1489217167866,-436.57084940523447,-57.14618037301796,-220.530093939448,-188.7707796374493,116.02842571465614,59.97399516339274,264.9182735877492,76.18285650671879,-20.675490219536076,64.09121951337978,-158.6938742045694,-280.10564758515187,173.29343240671767,114.1521582112106,139.5182914390405,-32.76121185934295,36.33000712893764,-29.86291821501953,26.068015270116504,-431.4882544576994,-13.015624465723324,6.756028355710031,9.52000528727335,38.40734604056961,15.028083576853808,-129.75005848985293,-163.98388953759712,-180.65815903298787,-184.32646828849732,-171.23651085482717,7.971711837883659,94.72258244861396,90.19424059926688,25.8887196757113,-120.14179044580884,-209.90224696073383,-167.0462261704886,-307.865081331111,750.6900925361825,658.6716339754657,425.878731282202,594.5674241651593,561.0410821678489,370.0053904719166,290.53906715005,204.09009992854607,150.48308022904732,107.354310197469
